provider,provider id,provider label,provider description,provider group code,benthic attribute,growth form,benthic_attribute_id,growth_form_id
Reef Cloud,3230,Abyla,Abyla,MACROALGAE,Abyla,,405191d9-4d7b-497e-9965-4149142653ac,
Reef Cloud,3204,Acanthaster planci (Crown-of-thorns),Acanthaster planci (Crown-of-thorns),OTHER INVERTEBRATES,Acanthaster planci,,2bdfc0fe-e0d3-4be2-970b-508ea40e1495,
Reef Cloud,3205,Acanthastrea,Acanthastrea,HARD CORAL,Acanthastrea,,d6511689-4a1f-4c28-b5bc-1eaf02b5dfbc,
Reef Cloud,3206,Acanthophora,Acanthophora,MACROALGAE,Acanthophora,,08497e2e-570d-4394-9e97-c9bbdf0f7165,
Reef Cloud,3207,Acetabularia,Acetabularia,MACROALGAE,Acetabularia,,f05b022a-7158-42b9-a592-82418a7a8578,
Reef Cloud,3208,Acropora,Acropora,HARD CORAL,Acropora,,050c0689-0b01-4a6c-afbf-a5d3ca39c310,
Reef Cloud,3209,Acropora cervicornis,Acropora cervicornis,HARD CORAL,Acropora cervicornis,,c20e38e5-ac36-41b3-a234-14e8f0de5c16,
Reef Cloud,3210,Acropora palmata,Acropora palmata,HARD CORAL,Acropora palmata,,5090e2b1-d85c-40ec-8c70-8b34ea90a7f2,
Reef Cloud,3211,Acropora prolifera,Acropora prolifera,HARD CORAL,Acropora prolifera,,9f6436ae-e654-4845-a853-85344a2f8675,
Reef Cloud,3212,Acroporidae,Acroporidae,HARD CORAL,Acroporidae,,a36b36c6-1f9f-4aa1-922c-61e74c786187,
Reef Cloud,3213,Actiniaria (Sea anemone),Actiniaria (Sea anemone),OTHER INVERTEBRATES,Actinaria,,df88a39f-9381-4d12-90a3-d2ec34042061,
Reef Cloud,3214,Agaricia,Agaricia,HARD CORAL,Agaricia,,79a84274-88f2-4135-90dd-8c1a501f87d5,
Reef Cloud,3599,Agaricia agaricites,Agaricia agaricites,HARD CORAL,Agaricia agaricites,,da503ac3-1c43-49d4-aafa-a7f8c140dec7,
Reef Cloud,3215,Agaricia fragilis,Agaricia fragilis,HARD CORAL,Agaricia fragilis,,aeef595c-8a38-4e57-9a32-45676e09edec,
Reef Cloud,3216,Agaricia grahamae,Agaricia grahamae,HARD CORAL,Agaricia grahamae,,53cf4a1c-1b45-48b6-a6c0-7a4752ad24b9,
Reef Cloud,3217,Agaricia humilis,Agaricia humilis,HARD CORAL,Agaricia humilis,,f781e3c2-11db-40e2-b9a8-be43f54bc40c,
Reef Cloud,3218,Agaricia lamarcki,Agaricia lamarcki,HARD CORAL,Agaricia lamarcki,,89e34529-a92a-4216-b549-dd2110c07df0,
Reef Cloud,3601,Agaricia tenuifolia,Agaricia tenuifolia,HARD CORAL,Agaricia tenuifolia,,b6bdb216-19dd-47b7-bbd2-4234f9787316,
Reef Cloud,3219,Agaricia undata,Agaricia undata,HARD CORAL,Agaricia undata,,5a6541ce-7986-4e7a-a2d2-8eff7589c34a,
Reef Cloud,3220,Agariciidae,Agariciidae,HARD CORAL,Agariciidae,,3151a2f4-1f93-41c6-998a-3b5bcbb27717,
Reef Cloud,3221,Agelas,Agelas,SPONGE,Agelas,,0f549ca9-921b-430e-9230-68e5fd00466a,
Reef Cloud,3222,Agelas conifera,Agelas conifera,SPONGE,Agelas conifera,,6152ae0e-a2b8-404c-a651-9fe9542b633d,
Reef Cloud,3223,Agelas tubulata,Agelas tubulata,SPONGE,Agelas tubulata,,84d47bef-c115-4dde-ab02-82058d9cdaf5,
Reef Cloud,3224,Aiolochroia crassa,Aiolochroia crassa,SPONGE,Aiolochroia crassa,,09896627-0a2e-4d83-b00a-b7f8de7f5fee,
Reef Cloud,3226,Alcyoniidae,Alcyoniidae,SOFT CORAL,Alcyoniidae,,9284a7ed-c1f2-4099-917a-feee73ee411e,
Reef Cloud,3227,Algae,Algae,ALGAE,Macroalgae,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
Reef Cloud,3228,Alveopora,Alveopora,HARD CORAL,Alveopora,,6a813c81-58a1-4fb4-ace8-b62e7c4183ae,
Reef Cloud,3229,Amansia,Amansia,MACROALGAE,Amansia,,5f02c034-b2ae-45f0-824b-1200cb1ecadc,
Reef Cloud,3231,Anacropora,Anacropora,HARD CORAL,Anacropora,,18d122c9-bbb0-4a53-a878-439e9a715d09,
Reef Cloud,3233,Anomastraea,Anomastraea,HARD CORAL,Anomastraea,,be196ff7-1bbc-4394-951e-2feb99e20638,
Reef Cloud,3235,Antipatharia,Antipatharia,SESSILE INVERTEBRATES,Antipatharia,,11c3a113-0516-4f62-9030-eaa859846805,
Reef Cloud,3236,Aplysina,Aplysina,SPONGE,Aplysina,,7a03b8d8-63bc-4622-bfe8-0a512c51ebbb,
Reef Cloud,3237,Aplysina cauliformis,Aplysina cauliformis,SPONGE,Aplysina cauliformis,,6ca62dbb-d734-42cc-bde3-72f4ce8bdd85,
Reef Cloud,3238,Aplysina fistularis,Aplysina fistularis,SPONGE,Aplysina fistularis,,21dfbd58-e7eb-499d-acde-5a6b090eb723,
Reef Cloud,3239,Aplysina fulva,Aplysina fulva,SPONGE,Aplysina fulva,,ced39d9b-517f-499d-bc84-5a2708c7565a,
