ba_id,ba_name,lh_name,gf_name,lh_id,gf_id
2b55697f-f26e-433e-9070-f1fe9748bf7b,Porites,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
2b55697f-f26e-433e-9070-f1fe9748bf7b,Porites,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Arborescent,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7e71833a-fc29-4176-91cb-1df6723089ed
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Columnar,79372230-f6d7-4a1c-b0af-2a4106a1d86f,cbff6080-6387-44e5-b7ad-35f35f3db3a7
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Corymbose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,1dd23b35-32d7-489f-bee1-3985e17c113f
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Digitate,79372230-f6d7-4a1c-b0af-2a4106a1d86f,eb67cf91-533d-465c-bace-c7c6d3901516
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Encrusting,79372230-f6d7-4a1c-b0af-2a4106a1d86f,b406252b-c160-4fd6-b7f9-f61d5e2779a5
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Foliose,79372230-f6d7-4a1c-b0af-2a4106a1d86f,e149db12-9398-4a10-8642-5db70d1a8505
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Massive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,888609b5-b58a-4d57-addc-a6935bba284b
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Mushroom coral,79372230-f6d7-4a1c-b0af-2a4106a1d86f,7a3be72b-a96e-4434-9c42-a817fe3fc765
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Plates or tables,79372230-f6d7-4a1c-b0af-2a4106a1d86f,6b2aabb4-d16f-445e-933f-16341030fdba
b345a2cc-aa56-4752-97e9-b789afb8a4ea,Porites brighami,stress-tolerant,Submassive,79372230-f6d7-4a1c-b0af-2a4106a1d86f,66f2cd86-a949-414e-96ac-5ea1fb702c5c
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Arborescent,3427ae0e-fe8f-4ca2-a215-04272810202c,7e71833a-fc29-4176-91cb-1df6723089ed
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,weedy,Branching,404afe62-2ab8-4bd0-9156-43b7ced8bbf1,cf2deca6-53b8-4096-916f-32c2c71d14bf
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Columnar,3427ae0e-fe8f-4ca2-a215-04272810202c,cbff6080-6387-44e5-b7ad-35f35f3db3a7
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Corymbose,3427ae0e-fe8f-4ca2-a215-04272810202c,1dd23b35-32d7-489f-bee1-3985e17c113f
05b8e85d-89ca-48dc-8ec9-2214d9103909,Porites compressa,competitive,Digitate,3427ae0e-fe8f-4ca2-a215-04272810202c,eb67cf91-533d-465c-bace-c7c6d3901516
