CoralNetID,CoralNetName,Default short code,Functional group,Public sources using,Public annotation count,MERMAID_BA,MERMAID_GF,MermaidBaID,MermaidGfID,CoralFocus3Label
1869,Asparagopsis taxiformis,AspaTax,Algae,33,1453,Asparagopsis taxiformis,NA,01e79666-c4c0-4f98-967a-993005ac7da7,NA,Macroalgae
1365,Mussa angulosa,MUSANG,Hard coral,25,6,Mussa angulosa,NA,02160430-8036-41fb-89b3-cf89782c0e3e,NA,Faviidae
5457,Acropora spp._staghorn,ACSTA,Hard coral,6,442,Acropora,NA,050c0689-0b01-4a6c-afbf-a5d3ca39c310,NA,Acropora
6870,Padina jamaicensis,Pad.jam,Algae,12,28,Padina,NA,053de64e-a2b9-40b6-b566-cf3a5e95e267,NA,Macroalgae
444,Porites compressa,PorComp,Hard coral,70,105338,Porites compressa,NA,05b8e85d-89ca-48dc-8ec9-2214d9103909,NA,Remove
2206,Porites compressa algal overgrowth,Porcom AO,Hard coral,6,124,Porites compressa,NA,05b8e85d-89ca-48dc-8ec9-2214d9103909,NA,Remove
427,Acanthophora spicifera,ASPIC,Algae,42,1556,Acanthophora spicifera,NA,0600d70e-e956-467e-b0c3-6d5c745f46f6,NA,Macroalgae
1860,Pavona maldivensis,PavMal,Hard coral,31,2,Pavona maldivensis,NA,08fab4ab-3f43-4acb-8bc1-d7bdc87c4bd7,NA,Pavona
1804,Branching and calcareous algae,BRAN-CALC,Algae,15,22,Macroalgae,Branching,09226989-50e7-4c40-bd36-5bcef32ee7a1,cf2deca6-53b8-4096-916f-32c2c71d14bf,Macroalgae
313,Macroalgae: Erect fine branching,MAEF,Algae,9,83,Macroalgae,Branching,09226989-50e7-4c40-bd36-5bcef32ee7a1,cf2deca6-53b8-4096-916f-32c2c71d14bf,Macroalgae
4938,Boodlea,Boodlea,Algae,26,129,Macroalgae,NA,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,Macroalgae
3598,Bryopsis spp.,BrSpp,Algae,8,33,Macroalgae,NA,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,Macroalgae
1138,"Green algae, unidentified",GRAL,Algae,9,332,Macroalgae,NA,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,Macroalgae
305,Macroalgae: Globose / saccate,MAG,Algae,9,177,Macroalgae,NA,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,Macroalgae
301,Macroalgae: Laminate,MALA,Algae,9,295,Macroalgae,NA,09226989-50e7-4c40-bd36-5bcef32ee7a1,NA,Macroalgae
6871,Padina boergesenii,Pad.boe,Algae,12,1447,Padina boergesenii,NA,093c2a78-a6df-4c6a-9940-d1192d42fba5,NA,Macroalgae
5925,Niphates erecta,Niphates,Other Invertebrates,12,13,Niphates erecta,NA,0b16aa3e-34e6-4072-a2b2-ed1c4739d38b,NA,Other invertebrates
7543,Bleached Hard Coral Massive,BHCM,Hard coral,6,44,Bleached coral,Massive,0c854534-f891-4c52-99bf-cf7f617ca0fc,888609b5-b58a-4d57-addc-a6935bba284b,Remove
7542,Bleached Hard Coral Encrusting,BHCE,Hard coral,6,203,Bleached coral,Encrusting,0c854534-f891-4c52-99bf-cf7f617ca0fc,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Remove
203,Bleached Acropora branching,BAcroBr,Hard coral,6,253,Bleached coral,Branching,0c854534-f891-4c52-99bf-cf7f617ca0fc,cf2deca6-53b8-4096-916f-32c2c71d14bf,Remove
7540,Bleached branching coral,BBRA,Hard coral,6,214,Bleached coral,Branching,0c854534-f891-4c52-99bf-cf7f617ca0fc,cf2deca6-53b8-4096-916f-32c2c71d14bf,Remove
7541,Bleached Hard Coral Digitate,BHCD,Hard coral,7,13,Bleached coral,Digitate,0c854534-f891-4c52-99bf-cf7f617ca0fc,eb67cf91-533d-465c-bace-c7c6d3901516,Remove
3407,Bleached Pavona duerdeni,BLPDUE,Hard coral,29,8,Bleached coral,NA,0c854534-f891-4c52-99bf-cf7f617ca0fc,NA,Remove
2193,Montipora patula bleached,Monpat BL,Hard coral,33,490,Bleached coral,NA,0c854534-f891-4c52-99bf-cf7f617ca0fc,NA,Remove
2194,Pavona varians bleached,Pavvar BL,Hard coral,29,52,Bleached coral,NA,0c854534-f891-4c52-99bf-cf7f617ca0fc,NA,Remove
2210,Porites evermanni bleached,Poreve BL,Hard coral,30,2,Bleached coral,NA,0c854534-f891-4c52-99bf-cf7f617ca0fc,NA,Remove
4518,Porites monticulosa bleached,PMON_BL,Hard coral,7,17,Bleached coral,NA,0c854534-f891-4c52-99bf-cf7f617ca0fc,NA,Remove
4820,Porites superfusa,P-SUPER,Hard coral,34,3649,Porites superfusa,NA,0df2f2ac-d8b5-41fe-bf1f-7cd2c30a1a2e,NA,Remove
2055,Discosoma,DiscoS,Other Invertebrates,19,275,Discosoma,NA,0e051baa-9822-49a1-abe3-e07fba02c90c,NA,Other invertebrates
1891,ARMS-CREP-Foraminifera,_FORM,Other Invertebrates,15,1448,Foraminifera,NA,0ec757c1-6ef3-49ce-9711-9e422e3d74a9,NA,Other invertebrates
1284,CRED-Heliopora spp,*HCOE,Hard coral,9,415,Heliopora,NA,0f18ea18-0e25-42e8-bb96-f4be5f144075,NA,Heliopora
655,Agelas,A.O,Other Invertebrates,14,58,Agelas,NA,0f549ca9-921b-430e-9230-68e5fd00466a,NA,Other invertebrates
1301,CRED-Pavona spp_foliose,*PAFO,Hard coral,14,174,Pavona,Foliose,108ff93e-9191-42bf-b502-3a437407b22a,e149db12-9398-4a10-8642-5db70d1a8505,Pavona
989,Antipatharia,Ant,Other Invertebrates,15,187,Antipatharia,NA,11c3a113-0516-4f62-9030-eaa859846805,NA,Other invertebrates
3507,CRED-Wire and black coral,*ANTI,Other Invertebrates,6,3,Antipatharia,NA,11c3a113-0516-4f62-9030-eaa859846805,NA,Other invertebrates
3238,Mussismilia braziliensis,MuBr,Hard coral,6,231,Faviidae,NA,132ae52b-0cc6-4877-93ca-becbc612ea64,NA,Faviidae
3240,Mussismilia harttii,MuHa,Hard coral,6,226,Faviidae,NA,132ae52b-0cc6-4877-93ca-becbc612ea64,NA,Faviidae
3239,Mussismilia hispida,MuHi,Hard coral,7,235,Faviidae,NA,132ae52b-0cc6-4877-93ca-becbc612ea64,NA,Faviidae
3531,Sandalolitha,SANDALTH,Hard coral,12,1,Sandalolitha,NA,14a38ea6-beab-4871-8249-a015b5423268,NA,Fungiidae
76,Sandolitha,Sando,Hard coral,37,74,Sandalolitha,NA,14a38ea6-beab-4871-8249-a015b5423268,NA,Fungiidae
